paper_id,abstract
290,"Current views about flexible exchange rate systems are based, to a large extent, on the lessons from the period of the 1920's during which many exchange rates were flexible. This paper re-examines the evidence from the perspective of the recently revived monetary approach (or more generally, asset-market approach) to the exchange rate. The analysis starts by developing a simple monetary model of exchange rate determination. The key characteristic of the model lies in the notion that, being a relative price of two monies, the equilibrium exchange rate is attained when the existing stocks of the two monies are willingly held. The equilibrium exchange rate is shown to depend on both real and monetary factors which operate through their influence on the relative demands and supplies of monies. The analysis then proceeds to examine the relationship between spot and forward rates for the Franc/Pound, Dollar/Pound and Franc/Dollar exchange rates and the results are shown to be consistent with the efficient market hypothesis. The monetary model is then estimated using monthly data and using the forward premium on foreign exchange as a measure of expectations. In addition to the single-equation ordinary-least-squares estimates, the various exchange rates are also estimated as a system using the mixed-estimation procedure which combines the sample information with prior information which derives from the homogeneity postulate and from known properties of the demand for money. The various results are shown to be consistent with the predictions of the monetary model."
330,"It is widely agreed that unionization affects the rules and procedures governing the employment relation in organized establishments. The effect of these changes on establishment productivity, however, is unclear. Existing evidence is based on a comparison of union/non-union differences in value added per hour worked. Although positive union effects have been estimated, possible differences in prices and technology in the union and non-union sectors render the results inconclusive. The effect of unions on productivity is examined in the present paper using establishment level data from the U.S. cement industry. The cement industry provides a useful empirical framework. Output is easily measured in physical terms, and data on both union and non-union establishments permit estimation of the union effect controlling for differences in technology. The results suggest that unionized establishments are 6-8 percent more productive than their non-union counterparts. This conclusion is supported in time series data, where a comparison of productivity before and after unionization reveals a positive union effect of similar magnitude. Since the statistical analysis controls for capital-labor substitution, scale effects and technological change, the evidence suggests that unionization leads to productive changes in the operation of the enterprise. The results are relatively robust. Specification changes and adjustments for omitted variables leave the basic findings intact."
332,The effect of unionization on productivity is examined in this paper using time-series data on selected establishments in the U.S. cement industry. The analysis combines statistical estimation of the union impact and interviews with union and management officials to forge a link between econometric estimation and the traditional institutional analysis of union policy and management adjustment. The econometric analysis primarily deals with the problem of identifying the impact of the union in the face of firm specific effects and adjustments in labor quality. The case studies are designed to shed light on the question of how unionization affects productivity. The empirical results support the conclusion that unionization leads to productive changes in the operation of the enterprise. Evidence from the case studies suggests that much of the gain in productivity derives from a series of extensive changes in management personnel and procedure. These adjustments are a management response to changes in the employment contract which follow unionization.
450,"The 1970's witnessed the dramatic evolution of the international monetary system from a regime of pegged exchange rates into a regime of flexible rates. This paper surveys the key issues and lessons from the experience with floating rates during the1970's. The main orientation is empirical and the analysis is based on the experience of the three exchange rates: the Dollar/Pound, the Dollar/French Franc, and the Dollar/DM. The first issue that is being examined is the efficiency of the foreign exchange market and the degree of exchange rates volatility. The analytical framework emphasizes that exchange rates are the prices of assets that are traded in organized markets and are strongly influenced by expectations about future events. The principal finding is that the behavior of the foreign exchange market has been broadly consistent with the efficient market hypothesis. The second issue concerns the relationship between exchange rates and interest rates. It is shown that during the inflationary period of the 1970's, exchange rates and interest rates were positively correlated. This positive association is interpreted in terms of the role played by inflationary expectations. The analysis draws a distinction between expected and unexpected changes in interest rates; it is demonstrated that changes in exchange rates are strongly associated with the unexpected component of changes in the interest rates. The third issue concerns the relationship between exchange rates and prices. It is shown that the experience of the 1970'sdoes not support the prediction of the simple version of the purchasing power parity theory and that the deviations from purchasing power parities can be characterized by a first-order autoregressive process. These deviations are then interpreted."
452,"This paper summarizes the results of an empirical study of the operation of flexible exchange rates during the 1920's under both the hyperinflationary conditions (based on the experience of Germany) and under the normal conditions (based on the experience of Britain, the United States and France).Section I deals with some general characteristics of the market for foreign exchange by examining the relationship between spot and forward exchange rates. Section II deals with the relationship between exchange rates and prices by examining aspects of the purchasing power parity doctrine. Section III deals with the determinants of exchange rates within the context of a simple monetary model."
506,"Recent theorizing with business cycle models which incorporate features of the Friedman-Phelps natural rate model along with rational expectations lead to the following policy conclusions. Anticipated changes in aggregate demand policy will have already been taken into account in economic agents behavior and will thus evoke no further output or employment response. Therefore, deterministic feedback policy rules will have no impact on output fluctuations in the economy. These policy implications of what Modigliani has dubbed the Macro Rational Expectations (MRE) hypothesis are of such importance that a wide range of empirical research is needed for its verification or refutation. Recent empirical work has tested the ""neutrality"" implication of the MRE hypothesis that anticipated monetary policy does not affect output or unemployment. Although this empirical work has frequently been favorable to the MRE hypothesis, it suffers from several deficiencies that create suspicion about the robustness of the results. This paper is an attempt to conduct an econometric investigation of the implications of the MRE hypothesis which does not suffer from these deficiencies. The results here strongly reject the neutrality implications of the MRE hypothesis: unanticipated movements in monetary policy are not found to have a larger impact on output and unemployment than anticipated movements. This evidence casts doubt on previous evidence that is cited as supporting the view that only unanticipated monetary policy is relevant to the business cycle."
623,"This paper studies the efficient agreements about the dependence of workers' earnings on employment, when the employment level is controlled by firms. Under plausible assumptions, such agreements will cause employment to diverge from efficiency as a byproduct of their attempt to mitigate risk. However, employment is above rather than below the efficient level when the conditions of profitability are worse than average. Such a one- period implicit contracting model cannot, therefore, be used to ""explain"" unemployment as it is traditionally conceived."
675,"This paper studies the efficient agreements about the dependence of workers' earnings on employment, when the employment level is controlled by firms. The firms ' superior information about profitability conditions is responsible for this form of contract governance. Under plausible assumptions, such agreements will cause employment to diverge from efficiency as a byproduct of their attempt to mitigate risk. It is shown that, if leisure is a normal good and firms are risk neutral, employment is always above the efficient level. Such a one-period implicit contracting model cannot, therefore, be used to ""explain"" unemployment as a rational byproduct of risk sharing between workers and a risk neutral firm under conditions of asymmetric information."
772,"Does retirement behavior react predictably to economic incentives? Evidence on this question would be useful to policy makers responsible for work and retirement programs affecting the elderly. This paper reviews the lessons and limitations of recent economics literature on pensions, earnings, and retirement. Section I develops the life cycle context for analyzing this problem. Theoretical literature is examined in Section II, followed by a review of the empirical literature in Section III. Conclusions appear at the end of each Section."
789,"A heated debate has arisen over what Modigliani has dubbed the Macro Rational Expections (MRE) hypothesis. This hypothesis embodies two component hypotheses: 1) rational expectations and 2) short-run neutrality -- i.e., that anticipated changes in aggregate demand will have already been taken into account in economic agents' behavior and will thus evoke no output or employment response. Together these component hypotheses imply that deterministic feedback policy rules will have no effect on business cycle fluctuations. The irrelevance of these types of policy rules is inconsistent with much previous macro theorizing as well as with the views of policymakers. It is thus an extremely controversial proposition which requires a wide range of empirical research. This paper is a sequel to a previous paper by the author. That paper developed a methodology for testing the MRE hypothesis and found that anticipated money growth does matter to the business cycle. This paper extends the analyses to cases where the rate of nominal GNP growth or the inflation rate, rather than money growth, is the aggregate demand variable. The empirical results are also negative on the MRE hypothesis and its corresponding policy ineffectiveness proposition."
876,"This paper examines how the structure of earnings and pension opportunities affects retirement behavior. We use a life cycle model of labor supply, paying special attention to the institutional features of private pensions and Social Security benefits. This theoretical formulation is used to develop comparative dynamic pre- dictions and to guide empirical modeling. Data from a new survey of workers and their income alternatives are used to implement the empirical model. Along the way, we highlight a number of interesting and little known facts about older workers' income. Contrary to popular opinion we find that private pensions are not always actuarially neutral; Social Security benefits do not typically decline (in present value terms) the longer retirement is deferred; and for many people, retirement income approaches and even exceeds net labor income. On the basis of empirical estimates of retirement parameters, we conclude that (1) people with higher base incomes retire earlier, and (2) those who have more to gain by postponing retirement, retire later. These findings are relevant to proposed reforms of the Social Security system as well as pension programs."
1093,"The main issue of this paper is to study the sign and direction of causality between two demographic variables --the fertility rate and the infant mortality rate - by using time series methodology. It is shown that a fall in fertility will decrease infant mortality below its normal level. It is also shown that fertility and infant mortality are not mutually independent but jointly determined. Therefore, when one constructs a model of the relationship between fertility and infant mortality,it is suggested that one should estimate a fertility equation in which infant mortality rate is an endogenous variable in a simultaneous equations system and vice versa."
1128,"This paper examines the role of economic factors in determining retirement behavior using a unique new data archive on more than 8,700 workers covered by ten different pension plans. We build on our earlier work by estimating several different retirement models including linear as well as discrete choice formulations. This framework provides new insights into how andwhy retirement ages differ across firms. We conclude that older workers' income opportunities differ depending on their pension rules, which in turn have a powerful influence on their retirement patterns. In addition the models indicate that older workers' tastes for income are not uniform,either across individuals or across firms.Finally, we show that retirement age differences are in part due to differences in worker preferences and in part due to differences in income opportunities. There appears to be some evidence of worker sorting across pension plans."
