author_i,year,high_sim_count,avg_similarity,trend
8,2018,1,.8631106,
38,2022,1,.93276244,
85,2011,1,.85556364,
88,2013,1,.88536602,
88,2017,1,.90079117,
88,2018,2,.86011428,1
89,2018,1,.87697947,
121,2020,1,.92478842,
130,2006,1,.87215775,
136,1987,1,.8782348,
189,2021,1,.94120455,
200,2016,1,.93034333,
205,2000,1,.92665899,
214,2011,1,.86995667,
214,2014,1,.89087653,
216,2020,1,.90915966,
222,2011,1,.88475895,
238,1989,1,.92038858,
250,2014,1,.87718725,
253,2017,5,.91157645,
290,1986,1,.86389089,
291,2018,1,.91048265,
295,2006,1,.88353145,
306,2003,2,.86472034,
312,1994,1,.853742,
313,2020,2,.88864607,
338,1987,1,.91640311,
338,1990,2,.90091133,
342,1981,1,.87825668,
354,2017,1,.86961722,
355,1985,1,.91470611,
383,2021,1,.88625628,
384,1980,1,.88675809,
384,1981,1,.92155874,0
386,1988,1,.87511396,
387,2017,1,.89852035,
391,1994,1,.90326673,
397,2018,1,.9491086,
409,2004,1,.95521092,
409,2006,1,.85753167,
410,1998,1,.9285745,
411,1987,2,.86487389,
413,1996,1,.85284543,
414,1999,1,.94109619,
414,2001,1,.85158306,
417,2016,1,.93598819,
417,2018,1,.89876676,
421,2001,1,.8872143,
427,2015,1,.87366903,
427,2017,1,.88083482,
429,1991,1,.91305631,
429,1997,1,.9062624,
441,1991,1,.86586696,
445,1984,1,.88361228,
446,1990,1,.91021335,
454,1989,1,.92038858,
459,1982,6,.89929861,
459,1984,3,.89984339,
460,1986,1,.88644683,
461,1992,1,.85588467,
462,2008,2,.8784399,
462,2009,1,.85515392,-1
475,2001,1,.8920356,
480,1998,1,.85422993,
496,1977,1,.87179387,
501,2006,1,.88390625,
502,2000,1,.8781783,
507,1999,1,.8649044,
524,2006,1,.90589404,
525,2004,1,.85192907,
528,1995,1,.8666091,
528,2000,1,.90530622,
529,1990,1,.89451909,
532,1993,1,.95287234,
544,2015,1,.88328218,
545,1998,1,.87510157,
565,1999,1,.86764318,
574,2002,1,.8562367,
577,2009,1,.89013433,
577,2018,1,.93580568,
577,2020,1,.86097205,
594,1997,1,.87960535,
601,1974,1,.889202,
606,2021,1,.85179681,
606,2024,1,.87360364,
609,1990,1,.8913523,
610,2018,1,.90505826,
616,1995,1,.89877403,
625,1988,1,.85391533,
636,2017,1,.89895165,
641,2018,1,.90307915,
644,2014,1,.93072999,
647,1981,7,.92274725,
647,1982,6,.9004848,-1
647,1983,1,.86033642,-5
647,1984,3,.88992614,2
659,1990,1,.91199034,
666,1991,1,.96064395,
668,1984,1,.88132071,
679,2007,1,.86068785,
682,2013,1,.88312197,
682,2015,1,.94827819,
682,2016,1,.85443652,0
682,2017,1,.9001354,0
684,1994,1,.89771032,
687,1997,1,.8760913,
692,2016,1,.9223001,
695,2001,1,.86453557,
703,1997,1,.93167186,
714,2012,1,.85392612,
716,1980,1,.88240445,
720,2014,1,.86119527,
727,1991,1,.85863805,
734,2011,1,.93970454,
734,2012,1,.88984764,0
735,1993,1,.92735517,
748,1993,1,.92735517,
763,2017,1,.91902459,
786,1998,1,.90370715,
795,1991,1,.87029344,
803,1998,1,.8624627,
804,1988,1,.88415283,
805,2020,1,.95978308,
805,2021,1,.90618134,0
812,2018,1,.86319411,
832,2006,1,.86784858,
838,2001,1,.89798212,
842,1993,1,.90512753,
850,1989,1,.94483554,
850,1990,1,.86092138,0
853,1982,5,.87522948,
854,1980,1,.86236656,
860,1991,1,.87806702,
876,2006,1,.93320537,
886,2002,1,.9312309,
894,1999,1,.85080528,
895,1993,1,.8751111,
897,2000,1,.93040401,
906,2013,1,.90112591,
913,2013,1,.8564958,
913,2014,1,.9136104,0
924,2006,1,.88353145,
927,2010,1,.85408723,
949,2011,1,.90316987,
951,2017,1,.9129914,
962,1991,1,.85254085,
972,1996,1,.93707204,
977,1987,1,.91624987,
977,1990,2,.90091133,
981,2017,1,.90030897,
984,1981,2,.92920023,
984,1982,1,.865641,-1
984,1983,2,.91409695,1
984,1985,1,.88720357,
985,2018,1,.91581285,
992,2006,1,.87964064,
996,2006,1,.87185621,
1015,1988,1,.89745235,
1017,2006,1,.86467177,
1018,1991,1,.91725194,
1039,2017,1,.87568414,
1044,1999,1,.87557304,
1045,1992,1,.88025045,
1045,1994,1,.89068407,
1071,1999,1,.86980218,
1088,2002,1,.87198055,
1091,1999,1,.86925071,
1095,1997,2,.89316344,
1104,2017,1,.85684383,
1105,1998,1,.86432058,
1106,2018,1,.91673279,
1107,1985,1,.85694706,
1109,2011,1,.87336779,
1112,1994,1,.89253473,
1136,1982,1,.86853755,
1150,1982,1,.93520796,
1156,1973,5,.89834446,
1156,1974,3,.89033502,-2
1156,1975,2,.87416846,-1
1156,1976,2,.90449446,0
1157,1991,1,.86763346,
1185,2011,1,.87336779,
1189,1991,1,.91489756,
1197,1992,1,.85502875,
1206,2009,1,.86413932,
1212,2008,3,.90154862,
1212,2012,1,.94254935,
1222,1983,1,.89190125,
1223,1989,1,.88692212,
1233,1993,1,.86416435,
1238,1990,1,.91518915,
1238,1991,1,.88098603,0
1240,1987,1,.87110466,
1279,2012,1,.86920899,
1304,1987,1,.86962801,
1313,1980,1,.86363482,
1313,1981,1,.90049827,0
1313,2010,1,.86713243,
1315,2004,1,.89280784,
1316,2015,1,.87578386,
1322,1994,1,.88403732,
1325,2020,1,.85919148,
