paper_i,paper_j,similarity,length_i,words_i,length_j,words_j
14827,18718,.96920729,1938,296,1439,221
22128,23960,.96874845,1432,218,1107,175
623,675,.96852851,555,81,755,113
10905,19071,.96813333,414,70,666,96
12828,13617,.96792024,1377,212,793,120
6839,8074,.96789253,2668,433,1831,297
21147,22841,.96784413,627,99,964,153
10305,15607,.96757954,1311,212,1946,291
2059,2505,.96715629,1780,276,1010,149
27674,29737,.96684241,1869,296,1274,195
450,452,.96664989,1791,270,693,105
330,332,.96655899,1485,208,1062,157
6127,6536,.96650755,1518,238,1127,182
30005,30507,.96587014,479,67,568,84
13196,15504,.96574569,518,72,748,114
10092,17600,.96551615,1143,171,889,140
11267,11661,.96541762,553,85,329,47
25904,30564,.96536899,600,99,966,132
3629,3718,.96532905,1008,144,1461,205
18769,20719,.9653182,699,109,1130,174
876,1128,.96516657,1181,181,933,141
12227,13801,.96501577,837,131,1323,210
11417,12402,.96484607,763,122,1070,162
2214,2629,.96484542,875,131,1140,178
7363,7491,.96440852,1195,185,953,151
6338,6884,.96439469,974,138,1383,207
14803,15444,.96420193,1407,207,881,121
772,876,.96397269,542,80,1181,181
8128,8453,.96393335,983,144,1652,253
10760,10761,.96386373,919,148,1558,243
6961,7488,.96385217,976,125,674,98
17649,18643,.96352017,647,99,1001,156
11606,16810,.96307504,1376,202,1048,146
11897,15534,.96282399,1382,214,860,140
11291,12938,.96261048,949,137,1502,222
15876,17806,.96231699,1851,276,1028,141
5912,7320,.96230567,596,96,1239,199
13737,14622,.96218884,901,128,1136,147
15656,21109,.96214747,862,128,1625,238
24682,28997,.962107,1256,200,557,84
7163,7164,.96207976,1049,150,619,88
23819,28013,.96207058,705,99,952,134
5549,6477,.96198732,815,129,613,88
29734,30564,.96180457,610,91,966,132
21590,28502,.96161705,797,109,546,75
290,452,.96152592,1581,242,693,105
12481,23267,.96114284,786,120,1481,217
13611,14463,.96102834,559,72,704,93
17107,20297,.96098286,1587,233,1120,163
17211,19861,.96086109,538,91,1180,192
17459,21759,.96063864,1237,181,1986,272
10504,12083,.96045661,819,114,688,88
23421,26999,.96028709,1162,174,649,100
772,1128,.95287019,542,80,933,141
