paper_i,paper_j,similarity,authors_share,length_i,words_i,length_j,words_j,length_diff,words_diff,length_ratio,words_ratio,has_method_both,has_data_both,has_empirical_both,has_policy_both
330,332,.96655899,1,1485,208,1062,157,423,51,.71515149,.75480771,0,1,1,0
290,450,.95913088,1,1581,242,1791,270,210,28,.88274705,.89629632,0,0,0,0
290,452,.96152592,1,1581,242,693,105,888,137,.43833017,.43388429,0,0,0,0
450,452,.96664989,1,1791,270,693,105,1098,165,.38693467,.3888889,0,0,1,0
623,675,.96852851,1,555,81,755,113,200,32,.73509932,.71681416,0,0,0,0
506,789,.96083009,1,1555,228,1247,190,308,38,.80192924,.83333331,0,0,1,1
772,876,.96397269,1,542,80,1181,181,639,101,.45893312,.44198895,0,0,1,0
876,1128,.96516657,1,1181,181,933,141,248,40,.79000849,.77900553,0,1,0,0
772,1128,.95287019,1,542,80,933,141,391,61,.58092177,.5673759,0,0,0,0
1195,1244,.9617427,1,755,106,718,102,37,4,.95099336,.96226418,1,0,0,1
1286,1439,.96041834,1,894,147,936,155,42,8,.95512819,.94838709,0,0,0,0
1093,1528,.96412921,1,663,105,580,90,83,15,.87481147,.85714287,1,0,0,0
1824,2467,.96545291,1,723,96,723,102,0,6,1,.94117647,0,0,0,0
2059,2505,.96715629,1,1780,276,1010,149,770,127,.56741571,.53985506,0,0,0,1
2214,2629,.96484542,1,875,131,1140,178,265,47,.76754385,.73595506,0,0,0,0
2660,2686,.96189076,1,1235,202,1008,166,227,36,.81619436,.82178217,0,0,0,0
3629,3718,.96532905,1,1008,144,1461,205,453,61,.68993843,.70243901,0,0,0,0
3974,4129,.9668088,1,1112,157,1007,162,105,5,.90557551,.96913582,0,0,1,0
3872,4460,.96064395,1,1094,176,1322,211,228,35,.82753402,.83412319,0,1,0,0
4909,5698,.9637394,1,900,141,999,160,99,19,.9009009,.88125002,0,0,0,0
5797,5962,.96195853,1,521,69,593,77,72,8,.87858349,.89610392,0,0,0,1
