paper_category,time_category,mean_sim,se_sim,n,ci_low,ci_high
Same Journal,Same Year,.86620688,.0033809342,175,.85958028,.87283349
Different Journals,Same Year,.85917741,.00064872805,3885,.85790592,.8604489
Same Journal,1-2 Years,.86125624,.0016354708,572,.8580507,.86446178
Different Journals,1-2 Years,.85627723,.00034217353,12866,.85560656,.8569479
Same Journal,3-5 Years,.85552639,.0014976102,641,.8525911,.85846168
Different Journals,3-5 Years,.8522833,.00031067949,13952,.85167438,.85289222
Same Journal,6+ Years,.8476451,.001321845,666,.84505427,.85023594
Different Journals,6+ Years,.84545779,.00023813745,19267,.84499103,.84592456
Mixed Status,6+ Years,,,0,,
Same Journal,,.89440298,.0071403557,3,.88040787,.90839809
Different Journals,,.86400402,.0053683091,59,.85348213,.8745259
